Timestamp,Coin,Price,24h_Change,Market_Cap
'2025-12-05 20:49:50,Bitcoin,'91080 USD,-1.71%,1816672883707
'2025-12-05 20:49:50,Ethereum,'3142.24 USD,-1.16%,378505530656
'2025-12-05 20:49:50,Tether,'1.0 USD,-0.01%,185558863968
'2025-12-05 20:49:50,XRP,'2.09 USD,-2.13%,126128547357
'2025-12-05 20:49:50,BNB,'895.21 USD,-1.65%,123360843451
'2025-12-05 20:49:50,USDC,'0.999904 USD,0.01%,77994780758
'2025-12-05 20:49:50,Solana,'135.87 USD,-4.96%,76223462616
'2025-12-05 20:49:50,Lido Staked Ether,'3142.6 USD,-1.0%,27128755587
'2025-12-05 20:49:50,TRON,'0.286008 USD,1.43%,27081240495
'2025-12-05 20:49:50,Dogecoin,'0.14376 USD,-3.82%,21831212649
